Oz40MW,siemens415W,siemens450W,aurecon1MW
0,0.512965328,0.513136403,0.272052
0,0.503244642,0.503379648,0.441512
0,0.493523957,0.493622892,0.21984
0,0.483803271,0.483866136,0.506548
0,0.474082586,0.474109381,0.663184
0.699725988,0.472122389,0.472000941,0.378308
0,0.470162193,0.469892501,0.252816
0,0.468201997,0.467784062,0.753868
0,0.4662418,0.465675622,0.655856
0,0.464281604,0.463567182,0.534028
0,0.462321408,0.461458743,0.316936
0,0.404136193,0.402196511,0.243656
0,0.345950979,0.342934278,0.354492
0,0.287765765,0.283672046,0.27022
0,0.229580551,0.224409814,0.211596
0,0.171395337,0.165147582,0.163048
0,0.113210122,0.10588535,0.087936
0,0,0,0.017404
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.007201816,0.008203623,0.000916
0,0.043605192,0.042300062,0.055876
0,0.080008568,0.076396501,0.14198
0,0.116411944,0.11049294,0.22442
0,0.15281532,0.144589379,0.305944
0,0.189218696,0.178685818,0.392048
0,0.225622072,0.212782257,0.479068
0,0.266259836,0.255502915,0.569752
0,0.3068976,0.298223573,0.69158
0,0.347535363,0.340944232,0.78318
0,0.388173127,0.38366489,0.805164
0,0.42881089,0.426385549,0.779516
0,0.469448654,0.469106207,0.77402
0.692823012,0.470945588,0.470572698,0.771272
0.719721352,0.472442522,0.47203919,0.771272
0.746960444,0.473939456,0.473505682,0.767608
0.77167962,0.47543639,0.474972173,0.76486
0.796444596,0.476933324,0.476438665,0.763028
0.820586692,0.478430258,0.477905156,0.759364
0.841816824,0.475109101,0.47468062,0.757532
0.863395952,0.471787944,0.471456083,0.7557
0.88292324,0.468466786,0.468231546,0.75112
0.899819776,0.465145629,0.465007009,0.749288
0.916,0.461824471,0.461782472,0.743792
0.916,0.458503314,0.458557936,0.74196
0.916,0.451759519,0.451926386,0.738296
0.916,0.445015725,0.445294836,0.734632
0.916,0.43827193,0.438663286,0.730968
0.916,0.431528136,0.432031736,0.729136
0.916,0.424784341,0.425400186,0.722724
0.916,0.418040547,0.418768636,0.72364
0.916,0.41908722,0.419749257,0.71906
0.916,0.420133893,0.420729877,0.71906
0.916,0.421180567,0.421710498,0.720892
0.916,0.42222724,0.422691119,0.721808
0.916,0.423273913,0.42367174,0.726388
0.916,0.424320587,0.42465236,0.726388
0.916,0.41288032,0.412984343,0.72822
0.916,0.401440053,0.401316326,0.730052
0.916,0.389999787,0.389648309,0.730968
0.916,0.37855952,0.377980292,0.731884
0.905564928,0.367119253,0.366312275,0.733716
0.889348064,0.355678986,0.354644258,0.735548
0.87139538,0.395283661,0.394581482,0.738296
0.852588984,0.434888335,0.434518706,0.739212
0.83092192,0.47449301,0.474455931,0.740128
0.808748308,0.514097684,0.514393155,0.740128
0.784520108,0.553702359,0.55433038,0.739212
0.759485828,0.593307033,0.594267604,0.729136
0.726988896,0.56499019,0.565662747,0.707152
0.693185748,0.536673346,0.53705789,0.720892
0,0.508356502,0.508453033,0.72364
0,0.480039658,0.479848176,0.719976
0,0.451722814,0.451243318,0.651276
0,0.42340597,0.422638461,0.584408
0,0.37478026,0.372554357,0.507464
0,0.326154549,0.322470252,0.427772
0,0.277528839,0.272386148,0.33892
0,0.228903128,0.222302043,0.258312
0,0.180277418,0.172217939,0.181368
0,0.131651707,0.122133834,0.104424
0,0,0,0.0229
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.017737966,0.018497814,0.000916
0,0.089320786,0.084578549,0.054044
0,0.160903607,0.150659283,0.1374
0,0.232486427,0.216740018,0.21984
0,0.304069247,0.282820752,0.298616
0,0.375652067,0.348901487,0.385636
0,0.447234888,0.414982222,0.47632
0,0.485086419,0.458353796,0.571584
0,0.522937951,0.50172537,0.692496
0,0.560789482,0.545096944,0.782264
0,0.598641014,0.588468518,0.804248
0,0.636492545,0.631840092,0.779516
0,0.674344077,0.675211666,0.771272
0.68962434,0.672251487,0.673084113,0.766692
0.715690952,0.670158898,0.670956559,0.766692
0.742586544,0.668066308,0.668829006,0.76028
0.766493228,0.665973719,0.666701452,0.757532
0.791772996,0.663881129,0.664573899,0.752952
0.814054696,0.661788539,0.662446345,0.749288
0.835709852,0.657892199,0.6586048,0.74654
0.856582744,0.653995859,0.654763255,0.74196
0.874606876,0.65009952,0.65092171,0.73738
0.891401736,0.64620318,0.647080164,0.734632
0.907560892,0.64230684,0.643238619,0.730052
0.916,0.6384105,0.639397074,0.72822
0.916,0.63498055,0.636202811,0.721808
0.916,0.631550601,0.633008548,0.71906
0.916,0.628120651,0.629814285,0.716312
0.916,0.624690701,0.626620022,0.713564
0.916,0.621260752,0.623425759,0.7099
0.916,0.617830802,0.620231496,0.707152
0.916,0.61718964,0.61937972,0.70532
0.916,0.616548477,0.618527944,0.703488
0.916,0.615907315,0.617676167,0.703488
0.916,0.615266152,0.616824391,0.707152
0.916,0.614624989,0.615972615,0.708984
0.916,0.613983827,0.615120839,0.7099
0.916,0.614500021,0.61559918,0.711732
0.916,0.615016215,0.616077521,0.712648
0.916,0.615532409,0.616555863,0.71448
0.913098112,0.616048603,0.617034204,0.71448
0.89642508,0.616564797,0.617512545,0.716312
0.880090968,0.617080991,0.617990887,0.717228
0.86191478,0.615169149,0.616129614,0.717228
0.842200628,0.613257308,0.614268342,0.719976
0.822125572,0.611345466,0.61240707,0.71906
0.799621284,0.609433625,0.610545797,0.718144
0.775963752,0.607521783,0.608684525,0.716312
0.750788408,0.605609942,0.606823253,0.706236
0.71986608,0.595328141,0.596316006,0.687
0.687292204,0.58504634,0.585808759,0.693412
0,0.574764539,0.575301513,0.695244
0,0.564482738,0.564794266,0.69158
0,0.554200937,0.554287019,0.628376
0,0.543919136,0.543779773,0.561508
0,0.475790206,0.474033667,0.489144
0,0.407661276,0.404287561,0.408536
0,0.339532346,0.334541456,0.32518
0,0.271403416,0.26479535,0.24732
0,0.203274486,0.195049245,0.177704
0,0.135145556,0.125303139,0.10076
0,0,0,0.0229
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
